L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_pop,exposed_pop,percent_exposed,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,26076.297,26076.297,100.0,2.0,Member State,AFG,ND,2015
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,113980.66,113980.66,100.0,2.0,Member State,AFG,ND,2015
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,74386.47,74386.47,100.0,2.0,Member State,AFG,ND,2015
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,110435.47,110435.47,100.0,2.0,Member State,AFG,ND,2015
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,250724.58,250724.58,100.0,2.0,Member State,AFG,ND,2015
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,26209.486,26209.486,100.00001,2.0,Member State,AFG,ND,2015
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,194715.81,194715.81,100.00001,2.0,Member State,AFG,ND,2015
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,67698.09,67698.09,100.0,2.0,Member State,AFG,ND,2015
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,108579.2,108579.2,100.0,2.0,Member State,AFG,ND,2015
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,29528.152,29528.152,100.0,2.0,Member State,AFG,ND,2015
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,30473.207,30473.207,100.0,2.0,Member State,AFG,ND,2015
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,129897.42,129897.42,100.0,2.0,Member State,AFG,ND,2015
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,51270.305,51270.305,100.0,2.0,Member State,AFG,ND,2015
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,55866.875,55866.875,100.0,2.0,Member State,AFG,ND,2015
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,61085.85,61085.85,100.0,2.0,Member State,AFG,ND,2015
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,169856.34,169856.34,100.0,2.0,Member State,AFG,ND,2015
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,39644.86,39644.86,100.0,2.0,Member State,AFG,ND,2015
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,37371.78,37371.78,100.0,2.0,Member State,AFG,ND,2015
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,182438.95,182438.95,100.0,2.0,Member State,AFG,ND,2015
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,20350.055,20350.055,100.0,2.0,Member State,AFG,ND,2015
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,86190.734,86190.734,99.99999,2.0,Member State,AFG,ND,2015
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,51822.297,51822.297,100.0,2.0,Member State,AFG,ND,2015
